recipe_name,source,url,servings,calories,image_url,diet_labels,health_labels,cautions,cuisine_type,meal_type,dish_type
Pumpkin Overnight Oats,lifemadesweeter.com,https://lifemadesweeter.com/pumpkin-overnight-oats/,1,391.5787500019035,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01b00c6fc92474beb754037ecd966910a0f03554c54d7655a1fe30d286c7cfc1/21126931.jpg,"[""Balanced"",""High-Fiber"",""Low-Sodium""]","[""Vegetarian"",""Egg-Free"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""cereals""]"
Mushroom Risotto,tastykitchen.com,https://tastykitchen.com/recipes/sidedishes/mushroom-risotto-3/,4,2903.319406,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01b0683c6cf0ecbe9f4a73ba8d3687ff5266d2917a74c038c986fb525b3a16b0/21059300.jpg,"[""Balanced"",""High-Fiber""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
Orange Creamsicle Mimosas,cafedelites.com,https://cafedelites.com/orange-creamsicle-mimosas,6,1048.524406922023,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01b19b3b6991c3e7ab08cfcc1cffe0bcb1f0d88ec166bc80c4ec3177120aaf7d/21080371.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites"",""FODMAP""]","[""world""]","[""lunch/dinner""]","[""alcohol cocktail""]"
Old Fashioned Bread Stuffing,Chez Us,http://chezus.com/2012/11/20/old-fashioned-bread-stuffing/,10,2570.363607,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01b3b1724f906b48dced76c2d3e9cf2f83edd100534550423e8fdb070f1c8a26/21046460.jpg,[],"[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""bread""]"
Cream Cheese Kolache Filling,Food & Wine,https://www.foodandwine.com/recipes/cream-cheese-kolache-filling,6,1039.746564166667,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01badcd50f3a213523e91e007d93ae0ed95ac4d3908643810f9893f6fe0f6c26/21064895.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""condiments and sauces""]"
Lemon Orzo Pasta Salad recipes,ohsweetbasil.com,http://www.ohsweetbasil.com/lemon-orzo-pasta-salad-recipe,9,3000.774929320569,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01be310c9de108049c8477b0d5cedbdb339b3cb65de688f9da6a47aa17547e8e/21133633.jpeg,"[""Balanced"",""High-Fiber""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""salad""]"
Smoothie with Fruit and Veggies recipes,beyondthechickencoop.com,http://www.beyondthechickencoop.com/smoothie-with-fruit-and-veggies/,2,344.043,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01be35e80ee109679b1e21bac20e5094c735e24eeaac1c43ee5f217d03382c41/21109356.jpeg,"[""High-Fiber"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""drinks""]"
Bananas Foster Nice Cream,tastykitchen.com,https://tastykitchen.com/recipes/desserts/bananas-foster-nice-cream/,4,363.6191666666666,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01bf6b86575e85f00880038a5c0bedf929428632a5ff310ff61ef36fb7a8ab48/21109328.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""breakfast""]","[""desserts""]"
Light Potato Soup,danagiltner.com,http://www.danagiltner.com/2015/01/light-potato-soup/,4,962.5286354166718,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c1237ac27104e03a3f12e419d2513a28389b670e20583ce203138d96f2e52b/21050194.jpg,"[""Balanced""]","[""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""mediterranean""]","[""lunch/dinner""]","[""soup""]"
5-Minute Berry Nana Ice Cream. Vegan Recipe,crazy-cucumber.com,http://www.crazy-cucumber.com/5-minute-berry-nana-ice-cream-vegan-recipe/,4,550.56,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01c379369f5424f24a861e937a37bdff9b66335ef5911207e06db8e5f01dead9/21094655.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""desserts""]"
